FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
84.79564751,214.330436,33.804,339,1,Summer,FR1
84.84328676,216.3242375,35.424,353,1,Summer,FR1
85.60674468,218.4819359,33.804,139,1,Summer,FR1
84.04760658,219.9405856,19.296,210,1,Summer,FR1
83.2346755,221.3485823,30.564,12,1,Summer,FR1
84.60389275,223.4532048,40.248,146,1,Summer,FR1
85.33883805,225.7179218,28.98,107,1,Summer,FR1
85.97212375,228.1391803,30.564,21,1,Summer,FR1
85.21348351,229.8895641,32.184,91,1,Summer,FR1
85.26126072,231.8910108,22.536,167,1,Summer,FR1
86.1088812,234.294453,28.98,307,1,Summer,FR1
85.74226957,236.171675,35.424,44,1,Summer,FR1
85.79022135,238.4096133,19.296,345,1,Summer,FR1
87.62913947,241.3667037,27.36,317,1,Summer,FR1
87.67771421,159.954927,46.656,30,3,Summer,FR1
87.37720011,162.5227094,28.98,165,1,Summer,FR1
81.03798738,155.4513639,22.536,171,1,Summer,FR1
82.60707308,157.245406,25.74,118,1,Summer,FR1
87.63155359,160.905126,30.564,74,1,Summer,FR1
88.60366107,164.4637488,24.156,126,1,Summer,FR1
88.65255754,167.7328055,33.804,72,2,Summer,FR1
89.81900265,171.7691186,40.248,96,3,Summer,FR1
92.09055199,176.0164325,30.564,118,3,Summer,FR1
91.08802192,179.3691515,28.98,314,2,Summer,FR1
89.68771241,182.2243335,37.008,22,3,Summer,FR1
89.73696679,185.3579309,28.98,19,2,Summer,FR1
89.78623743,188.411621,27.36,55,1,Summer,FR1
88.57330217,190.7812251,20.916,89,1,Summer,FR1
85.59933733,145.2610333,33.804,118,1,Summer,FR1
84.97843435,146.8558133,24.156,333,1,Summer,FR1
85.02613395,148.8770407,27.36,69,1,Summer,FR1
85.0738493,150.8859698,27.36,88,1,Summer,FR1
85.12158041,152.8624595,24.156,143,1,Summer,FR1
85.67175531,155.126867,25.74,346,1,Summer,FR1
86.72901268,157.7583051,30.564,75,1,Summer,FR1
86.79306453,160.2651716,32.184,96,1,Summer,FR1
83.27374065,161.2218269,30.564,210,1,Summer,FR1
78.43508718,161.6211649,32.184,188,1,Summer,FR1
79.73613877,162.496733,28.98,54,1,Summer,FR1
82.018222,163.8169993,22.536,133,1,Summer,FR1
82.06494429,164.8586587,25.74,221,1,Summer,FR1
83.30782878,166.4649364,38.628,326,1,Summer,FR1
90.15324798,170.4278971,37.008,13,3,Summer,FR1
92.73313504,175.1187654,27.36,110,3,Summer,FR1
88.63165019,177.4172845,30.564,126,1,Summer,FR1
88.3954083,179.9725624,30.564,84,1,Summer,FR1
87.8975673,182.2611216,25.74,55,1,Summer,FR1
88.36610252,185.270267,38.628,347,3,Summer,FR1
88.41492057,187.7082553,24.156,77,1,Summer,FR1
88.96003142,190.8854461,40.248,129,3,Summer,FR1
86.73126879,184.8500949,40.248,162,2,Summer,FR1
84.07592257,186.0134215,33.804,253,1,Summer,FR1
74.76738817,117.680896,30.564,289,1,Summer,FR1
80.39503342,118.8155444,45.072,342,1,Summer,FR1
84.1077874,120.5315511,30.564,129,1,Summer,FR1
84.83086489,122.112496,24.156,351,1,Summer,FR1
89.38735812,125.1631861,37.008,27,2,Summer,FR1
89.77225087,128.1585185,37.008,358,3,Summer,FR1
89.82153316,130.9357478,43.452,5,4,Summer,FR1
87.23548897,132.6375718,28.98,24,1,Summer,FR1
83.65986,133.4778656,33.804,142,1,Summer,FR1
83.58003214,134.4415005,27.36,315,1,Summer,FR1
85.64413006,136.3807434,40.248,6,1,Summer,FR1
85.28308682,137.5967422,17.712,139,1,Summer,FR1
84.8555307,138.7798183,30.564,37,1,Summer,FR1
86.99260779,140.8862339,25.74,139,1,Summer,FR1
86.99617031,142.4334415,27.36,213,1,Summer,FR1
84.71188314,143.3641987,25.74,32,1,Summer,FR1
86.56862058,145.4053882,22.536,8,1,Summer,FR1
87.9419529,147.6009702,27.36,355,1,Summer,FR1
86.70713566,149.0214152,28.98,48,1,Summer,FR1
86.755406,150.5983881,28.98,98,1,Summer,FR1
86.71768423,152.1700146,24.156,330,1,Summer,FR1
86.76595805,153.8529885,38.628,352,2,Summer,FR1
86.81424781,155.8331179,35.424,335,1,Summer,FR1
88.48983104,158.3082727,38.628,22,3,Summer,FR1
88.69912555,160.7156962,22.536,307,1,Summer,FR1
88.35334648,162.6775252,25.74,335,1,Summer,FR1
88.40216032,164.941568,35.424,97,2,Summer,FR1
89.49009002,167.4907559,37.008,133,3,Summer,FR1
89.7720538,170.0028738,24.156,131,1,Summer,FR1
89.82133602,172.1834677,28.98,119,2,Summer,FR1
89.87063451,174.6133844,35.424,24,3,Summer,FR1
90.6200537,176.9650174,30.564,104,2,Summer,FR1
91.31066333,179.3995817,37.008,22,4,Summer,FR1
91.37514604,181.7797685,37.008,38,4,Summer,FR1
88.11987201,183.0726978,43.452,333,3,Summer,FR1
83.45806947,164.1303334,49.896,340,2,Summer,FR1
84.07262989,165.0132378,24.156,111,1,Summer,FR1
85.17485114,166.1315535,35.424,14,1,Summer,FR1
90.39382767,168.7330111,25.74,2,1,Summer,FR1
90.44331516,171.0031194,46.656,338,4,Summer,FR1
89.92851342,172.8494173,51.516,325,4,Summer,FR1
80.8096932,138.5363099,48.276,297,1,Summer,FR1
81.7976154,139.2832023,49.896,317,1,Summer,FR1
84.04197446,140.0912008,51.516,144,2,Summer,FR1
79.32707349,140.172317,61.164,69,2,Summer,FR1
82.74338563,140.9314735,35.424,77,1,Summer,FR1
84.51358353,141.9711267,33.804,52,1,Summer,FR1
87.63490474,143.7284157,24.156,353,1,Summer,FR1
88.5255223,145.5369191,38.628,347,2,Summer,FR1
89.67403079,147.6550852,32.184,18,2,Summer,FR1
87.38203703,148.8200743,25.74,321,1,Summer,FR1
87.34864992,150.0731554,48.276,345,3,Summer,FR1
85.28724442,150.1022446,27.36,116,1,Summer,FR1
87.07817183,150.6410394,41.832,23,2,Summer,FR1
90.9476837,152.4723103,40.248,54,4,Summer,FR1
91.87207604,154.7013422,28.98,66,2,Summer,FR1
90.84476987,156.46117,25.74,156,2,Summer,FR1
89.45880927,157.6719781,41.832,355,3,Summer,FR1
90.03413619,159.7909651,27.36,90,1,Summer,FR1
90.61913978,161.9101875,35.424,34,3,Summer,FR1
91.38925212,164.2168201,33.804,39,3,Summer,FR1
91.49976442,166.4820466,20.916,96,1,Summer,FR1
91.54961704,168.3356643,32.184,26,3,Summer,FR1
91.59948613,170.0418226,37.008,348,4,Summer,FR1
89.51254795,171.2441997,33.804,342,2,Summer,FR1
88.77472565,172.3376719,56.34,324,5,Summer,FR1
87.67029168,172.3884926,74.016,341,5,Summer,FR1
90.09472449,172.4502851,37.008,40,3,Summer,FR1
92.28004869,173.22896,19.296,42,1,Summer,FR1
91.5911847,174.1924004,33.804,33,3,Summer,FR1
90.63518985,175.0906584,37.008,342,3,Summer,FR1
85.01423866,175.1187154,57.924,4,4,Summer,FR1
85.32063794,175.4864626,30.564,107,1,Summer,FR1
86.71186692,176.1103381,27.36,73,1,Summer,FR1
88.20871444,177.4203281,30.564,42,1,Summer,FR1
88.25748052,178.0228627,27.36,178,1,Fall,FR1
88.3062627,178.3731139,24.156,23,1,Fall,FR1
91.21078972,179.90894,19.296,59,1,Fall,FR1
91.63787666,181.4465699,20.916,129,1,Fall,FR1
91.68777488,183.0451358,27.36,8,2,Fall,FR1
92.04103805,184.6921071,20.916,141,1,Fall,FR1
86.93035442,184.7203958,33.804,166,1,Fall,FR1
86.97869845,185.1096277,40.248,353,2,Fall,FR1
